Date,Adj Close
29-08-2016,53.75579453
30-08-2016,53.56148529
31-08-2016,53.1636467
01-09-2016,53.2839241
02-09-2016,53.35794067
06-09-2016,53.30243683
07-09-2016,53.34869003
08-09-2016,53.1358757
09-09-2016,52.0071106
12-09-2016,52.78430557
13-09-2016,52.30318832
14-09-2016,52.05336761
15-09-2016,52.9138298
16-09-2016,52.96935272
19-09-2016,52.67327118
20-09-2016,52.56224823
21-09-2016,53.44121552
22-09-2016,53.49673462
23-09-2016,53.1358757
26-09-2016,52.64551926
27-09-2016,53.61700439
28-09-2016,53.69102859
29-09-2016,53.10813904
30-09-2016,53.29317474
03-10-2016,53.12662506
04-10-2016,52.96009445
05-10-2016,53.33019257
06-10-2016,53.42271042
07-10-2016,53.47821808
10-10-2016,53.70027924
11-10-2016,52.9138298
12-10-2016,52.83981323
13-10-2016,52.66402054
14-10-2016,53.12662506
17-10-2016,52.94158936
18-10-2016,53.34869003
19-10-2016,53.22839737
20-10-2016,52.96935272
21-10-2016,55.19914627
24-10-2016,56.43895721
25-10-2016,56.42971039
26-10-2016,56.09661102
27-10-2016,55.60624313
28-10-2016,55.39344025
31-10-2016,55.43971634
01-11-2016,55.32868195
02-11-2016,54.9863472
03-11-2016,54.78279495
04-11-2016,54.32017517
07-11-2016,55.90231705
08-11-2016,55.94858551
09-11-2016,55.67101288
10-11-2016,54.31093597
11-11-2016,54.60700226
14-11-2016,53.77429199
15-11-2016,54.83618546
16-11-2016,55.56274033
17-11-2016,56.48490143
18-11-2016,56.21476746
21-11-2016,56.68982315
22-11-2016,56.93201065
23-11-2016,56.26134491
25-11-2016,56.38243484
28-11-2016,56.45695496
29-11-2016,56.90406418
30-11-2016,56.13092804
01-12-2016,55.14356232
02-12-2016,55.19013596
05-12-2016,56.09368515
06-12-2016,55.84217453
07-12-2016,57.16487885
08-12-2016,56.82954407
09-12-2016,57.72377014
12-12-2016,57.91005325
13-12-2016,58.66455841
14-12-2016,58.38511276
15-12-2016,58.2919693
16-12-2016,58.031147
19-12-2016,59.26070786
20-12-2016,59.18618774
21-12-2016,59.18618774
22-12-2016,59.19550705
23-12-2016,58.90674973
27-12-2016,58.94399643
28-12-2016,58.6738739
29-12-2016,58.59004593
30-12-2016,57.88211441
03-01-2017,58.2919693
04-01-2017,58.031147
05-01-2017,58.031147
06-01-2017,58.5341568
09-01-2017,58.34785461
10-01-2017,58.32922363
11-01-2017,58.86016083
12-01-2017,58.31990814
13-01-2017,58.40374756
17-01-2017,58.24539185
18-01-2017,58.217453
19-01-2017,58.031147
20-01-2017,58.44101334
23-01-2017,58.64592743
24-01-2017,59.16756439
25-01-2017,59.31659698
26-01-2017,59.86616135
27-01-2017,61.27269363
30-01-2017,60.66723633
31-01-2017,60.22012329
01-02-2017,59.22344589
02-02-2017,58.84153366
03-02-2017,59.31659698
06-02-2017,59.27933502
07-02-2017,59.08372879
08-02-2017,58.99990082
09-02-2017,59.6705513
10-02-2017,59.61466599
